candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 3.484100s
it: 0, population size: 990, mean fitness: 204.399, best fitness: 996.633
it: 1, population size: 980, mean fitness: 313.364, best fitness: 1020.32
it: 2, population size: 970, mean fitness: 421.7, best fitness: 1056.66
it: 3, population size: 960, mean fitness: 485.548, best fitness: 1056.66
it: 4, population size: 950, mean fitness: 544.206, best fitness: 1056.66
it: 5, population size: 940, mean fitness: 570.314, best fitness: 1075.13
it: 6, population size: 930, mean fitness: 602.464, best fitness: 1122.52
it: 7, population size: 920, mean fitness: 632.046, best fitness: 1122.52
it: 8, population size: 910, mean fitness: 633.657, best fitness: 1122.52
it: 9, population size: 900, mean fitness: 640.567, best fitness: 1122.52
it: 10, population size: 892, mean fitness: 667.072, best fitness: 1126.81
it: 11, population size: 884, mean fitness: 673.192, best fitness: 1122.52
it: 12, population size: 876, mean fitness: 670.677, best fitness: 1126.81
it: 13, population size: 868, mean fitness: 687.812, best fitness: 1126.81
it: 14, population size: 860, mean fitness: 678.794, best fitness: 1126.81
it: 15, population size: 852, mean fitness: 683.924, best fitness: 1126.81
it: 16, population size: 844, mean fitness: 689.638, best fitness: 1126.81
it: 17, population size: 836, mean fitness: 690.685, best fitness: 1126.81
it: 18, population size: 828, mean fitness: 710.935, best fitness: 1126.81
it: 19, population size: 820, mean fitness: 715.473, best fitness: 1126.81
it: 20, population size: 812, mean fitness: 712.99, best fitness: 1126.81
it: 21, population size: 804, mean fitness: 694.483, best fitness: 1126.81
it: 22, population size: 796, mean fitness: 707.891, best fitness: 1134.32
it: 23, population size: 788, mean fitness: 720.85, best fitness: 1134.32
it: 24, population size: 780, mean fitness: 703.961, best fitness: 1139.9
it: 25, population size: 772, mean fitness: 724.564, best fitness: 1139.9
it: 26, population size: 764, mean fitness: 707.197, best fitness: 1139.9
it: 27, population size: 756, mean fitness: 693.171, best fitness: 1139.9
it: 28, population size: 748, mean fitness: 706.618, best fitness: 1139.9
it: 29, population size: 740, mean fitness: 673.284, best fitness: 1140.92
it: 30, population size: 732, mean fitness: 660.794, best fitness: 1140.92
it: 31, population size: 724, mean fitness: 648.412, best fitness: 1140.92
it: 32, population size: 716, mean fitness: 652.204, best fitness: 1166.79
it: 33, population size: 708, mean fitness: 618.973, best fitness: 1166.79
it: 34, population size: 700, mean fitness: 639.733, best fitness: 1166.79
it: 35, population size: 694, mean fitness: 660.954, best fitness: 1166.79
it: 36, population size: 688, mean fitness: 647.413, best fitness: 1166.79
it: 37, population size: 682, mean fitness: 655.647, best fitness: 1166.79
it: 38, population size: 676, mean fitness: 669.606, best fitness: 1166.79
it: 39, population size: 670, mean fitness: 673.721, best fitness: 1166.79
it: 40, population size: 664, mean fitness: 670.499, best fitness: 1166.79
it: 41, population size: 658, mean fitness: 650.65, best fitness: 1166.79
it: 42, population size: 652, mean fitness: 676.765, best fitness: 1166.79
it: 43, population size: 646, mean fitness: 685.314, best fitness: 1166.79
it: 44, population size: 640, mean fitness: 705.151, best fitness: 1166.79
it: 45, population size: 634, mean fitness: 665.664, best fitness: 1166.79
it: 46, population size: 628, mean fitness: 676.568, best fitness: 1166.79
it: 47, population size: 622, mean fitness: 669.039, best fitness: 1166.79
it: 48, population size: 616, mean fitness: 683.431, best fitness: 1166.79
it: 49, population size: 610, mean fitness: 671.08, best fitness: 1166.79
it: 50, population size: 604, mean fitness: 670.665, best fitness: 1166.79
it: 51, population size: 598, mean fitness: 692.246, best fitness: 1166.79
it: 52, population size: 592, mean fitness: 694.369, best fitness: 1166.79
it: 53, population size: 586, mean fitness: 650.659, best fitness: 1166.79
it: 54, population size: 580, mean fitness: 686.119, best fitness: 1166.79
it: 55, population size: 574, mean fitness: 701.337, best fitness: 1166.79
it: 56, population size: 568, mean fitness: 709.896, best fitness: 1166.79
it: 57, population size: 562, mean fitness: 697.065, best fitness: 1166.79
it: 58, population size: 556, mean fitness: 670.429, best fitness: 1166.79
it: 59, population size: 550, mean fitness: 682.963, best fitness: 1166.79
it: 60, population size: 544, mean fitness: 679.023, best fitness: 1166.79
it: 61, population size: 538, mean fitness: 707.061, best fitness: 1166.79
it: 62, population size: 532, mean fitness: 694.555, best fitness: 1166.79
it: 63, population size: 526, mean fitness: 694.092, best fitness: 1166.79
it: 64, population size: 520, mean fitness: 699.846, best fitness: 1166.79
it: 65, population size: 514, mean fitness: 706.052, best fitness: 1166.79
it: 66, population size: 508, mean fitness: 702.372, best fitness: 1166.79
it: 67, population size: 502, mean fitness: 728.027, best fitness: 1166.79
it: 68, population size: 496, mean fitness: 723.462, best fitness: 1166.79
it: 69, population size: 492, mean fitness: 717.3, best fitness: 1166.79
it: 70, population size: 488, mean fitness: 695.877, best fitness: 1166.79
it: 71, population size: 484, mean fitness: 690.743, best fitness: 1166.79
it: 72, population size: 480, mean fitness: 732.058, best fitness: 1166.79
it: 73, population size: 476, mean fitness: 704.277, best fitness: 1166.79
it: 74, population size: 472, mean fitness: 700.68, best fitness: 1166.79
it: 75, population size: 468, mean fitness: 705.425, best fitness: 1166.79
it: 76, population size: 464, mean fitness: 733.191, best fitness: 1166.79
it: 77, population size: 460, mean fitness: 750.559, best fitness: 1166.79
it: 78, population size: 456, mean fitness: 727.326, best fitness: 1166.79
it: 79, population size: 452, mean fitness: 707.088, best fitness: 1166.79
it: 80, population size: 448, mean fitness: 702.138, best fitness: 1166.79
it: 81, population size: 444, mean fitness: 706.775, best fitness: 1166.79
it: 82, population size: 440, mean fitness: 708.309, best fitness: 1166.79
it: 83, population size: 436, mean fitness: 695.289, best fitness: 1166.79
it: 84, population size: 432, mean fitness: 737.313, best fitness: 1166.79
it: 85, population size: 428, mean fitness: 749.095, best fitness: 1166.79
it: 86, population size: 424, mean fitness: 711.958, best fitness: 1166.79
it: 87, population size: 420, mean fitness: 692.325, best fitness: 1166.79
it: 88, population size: 416, mean fitness: 689.66, best fitness: 1166.79
it: 89, population size: 412, mean fitness: 720.102, best fitness: 1166.79
it: 90, population size: 408, mean fitness: 681.338, best fitness: 1166.79
it: 91, population size: 404, mean fitness: 692.887, best fitness: 1166.79
it: 92, population size: 400, mean fitness: 670.057, best fitness: 1166.79
it: 93, population size: 396, mean fitness: 666.06, best fitness: 1166.79
it: 94, population size: 392, mean fitness: 650.001, best fitness: 1166.79
it: 95, population size: 388, mean fitness: 653.899, best fitness: 1166.79
it: 96, population size: 384, mean fitness: 667.606, best fitness: 1166.79
it: 97, population size: 380, mean fitness: 749.003, best fitness: 1166.79
it: 98, population size: 376, mean fitness: 735.109, best fitness: 1166.79
it: 99, population size: 372, mean fitness: 689.551, best fitness: 1166.79
