candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 3.566489s
it: 0, population size: 382, mean fitness: 195.565, best fitness: 630.453
it: 1, population size: 380, mean fitness: 309.296, best fitness: 865.942
it: 2, population size: 378, mean fitness: 350.981, best fitness: 865.942
it: 3, population size: 376, mean fitness: 376.898, best fitness: 885.692
it: 4, population size: 374, mean fitness: 425.021, best fitness: 955.545
it: 5, population size: 372, mean fitness: 449.84, best fitness: 902.185
it: 6, population size: 370, mean fitness: 455.575, best fitness: 988.766
it: 7, population size: 368, mean fitness: 496.782, best fitness: 1022.35
it: 8, population size: 366, mean fitness: 525.608, best fitness: 1040.77
it: 9, population size: 364, mean fitness: 513.078, best fitness: 1094.32
it: 10, population size: 362, mean fitness: 519.332, best fitness: 1141.57
it: 11, population size: 360, mean fitness: 523.874, best fitness: 1141.57
it: 12, population size: 358, mean fitness: 548.427, best fitness: 1164.28
it: 13, population size: 356, mean fitness: 578.571, best fitness: 1164.28
it: 14, population size: 354, mean fitness: 626.266, best fitness: 1164.28
it: 15, population size: 352, mean fitness: 612.071, best fitness: 1164.28
it: 16, population size: 350, mean fitness: 668.824, best fitness: 1164.28
it: 17, population size: 348, mean fitness: 687.378, best fitness: 1164.28
it: 18, population size: 346, mean fitness: 728.997, best fitness: 1191.62
it: 19, population size: 344, mean fitness: 705.369, best fitness: 1191.62
it: 20, population size: 342, mean fitness: 719.72, best fitness: 1191.62
it: 21, population size: 340, mean fitness: 680.165, best fitness: 1191.62
it: 22, population size: 338, mean fitness: 678.825, best fitness: 1191.62
it: 23, population size: 336, mean fitness: 712.548, best fitness: 1191.62
it: 24, population size: 334, mean fitness: 679.221, best fitness: 1210.37
it: 25, population size: 332, mean fitness: 683.318, best fitness: 1210.37
it: 26, population size: 330, mean fitness: 701.959, best fitness: 1210.37
it: 27, population size: 328, mean fitness: 730.027, best fitness: 1210.37
it: 28, population size: 326, mean fitness: 751.043, best fitness: 1210.37
it: 29, population size: 324, mean fitness: 722.871, best fitness: 1210.37
it: 30, population size: 322, mean fitness: 736.477, best fitness: 1210.37
it: 31, population size: 320, mean fitness: 758.192, best fitness: 1210.37
it: 32, population size: 318, mean fitness: 778.024, best fitness: 1210.37
it: 33, population size: 316, mean fitness: 749.432, best fitness: 1210.37
it: 34, population size: 314, mean fitness: 756.766, best fitness: 1210.37
it: 35, population size: 312, mean fitness: 772.95, best fitness: 1210.37
it: 36, population size: 310, mean fitness: 748.836, best fitness: 1210.37
it: 37, population size: 308, mean fitness: 779.661, best fitness: 1210.37
it: 38, population size: 306, mean fitness: 776.89, best fitness: 1210.37
it: 39, population size: 304, mean fitness: 754.26, best fitness: 1210.37
duration: 5:29.343921
