candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 4.878321s
it: 0, population size: 254, mean fitness: 173.337, best fitness: 818.174
it: 1, population size: 252, mean fitness: 260.686, best fitness: 818.174
it: 2, population size: 250, mean fitness: 334.572, best fitness: 824.029
it: 3, population size: 248, mean fitness: 394.963, best fitness: 923.911
it: 4, population size: 246, mean fitness: 396.026, best fitness: 923.911
it: 5, population size: 244, mean fitness: 440.056, best fitness: 923.911
it: 6, population size: 242, mean fitness: 460.322, best fitness: 923.911
it: 7, population size: 240, mean fitness: 463.785, best fitness: 923.911
it: 8, population size: 238, mean fitness: 485.397, best fitness: 923.911
it: 9, population size: 236, mean fitness: 504.205, best fitness: 938.831
it: 10, population size: 234, mean fitness: 550.72, best fitness: 938.831
it: 11, population size: 232, mean fitness: 581.819, best fitness: 1007.35
it: 12, population size: 230, mean fitness: 549.981, best fitness: 1007.35
it: 13, population size: 228, mean fitness: 572.59, best fitness: 1007.35
it: 14, population size: 226, mean fitness: 520.438, best fitness: 954.413
it: 15, population size: 224, mean fitness: 537.233, best fitness: 954.413
it: 16, population size: 222, mean fitness: 594.515, best fitness: 954.413
it: 17, population size: 220, mean fitness: 562.892, best fitness: 977.889
it: 18, population size: 218, mean fitness: 575.832, best fitness: 977.889
it: 19, population size: 216, mean fitness: 565.096, best fitness: 977.889
it: 20, population size: 214, mean fitness: 564.033, best fitness: 1007.35
it: 21, population size: 212, mean fitness: 598.624, best fitness: 1009.85
it: 22, population size: 210, mean fitness: 581.666, best fitness: 1009.85
it: 23, population size: 208, mean fitness: 593.592, best fitness: 1025.89
it: 24, population size: 206, mean fitness: 625.501, best fitness: 1040.37
it: 25, population size: 204, mean fitness: 619.764, best fitness: 1057.14
it: 26, population size: 202, mean fitness: 628.593, best fitness: 1057.14
it: 27, population size: 200, mean fitness: 650.557, best fitness: 1057.14
it: 28, population size: 198, mean fitness: 644.244, best fitness: 1057.14
it: 29, population size: 196, mean fitness: 627.804, best fitness: 1057.14
it: 30, population size: 194, mean fitness: 638.044, best fitness: 1057.14
it: 31, population size: 192, mean fitness: 673.7, best fitness: 1057.14
it: 32, population size: 190, mean fitness: 631.46, best fitness: 1057.14
it: 33, population size: 188, mean fitness: 662.194, best fitness: 1063.1
it: 34, population size: 186, mean fitness: 645.31, best fitness: 1063.1
it: 35, population size: 184, mean fitness: 608.121, best fitness: 1063.1
it: 36, population size: 182, mean fitness: 638.844, best fitness: 1063.1
it: 37, population size: 180, mean fitness: 621.176, best fitness: 1063.1
